Total missing description_fr: 695
  have description_en: 374
  no description_en: 321

=== NO description_en - need invented descriptions ===
Antelope-like Animal (Small) | Animal de type antilope (petit) | Herbivores and Other Normally Non-Aggressive Animals | Lv1 | sz=M | OB:20SHo80/00STs20
Rodent (Small) | Rongeur (petit) | Herbivores and Other Normally Non-Aggressive Animals | Lv0 | sz=S | OB:20TBI100/20SBi(6)
Buffalo/Bull | Bœuf/Buffle | Herbivores and Other Normally Non-Aggressive Animals | Lv4 | sz=L | OB:50MHo50/60LBa50/70LTs
Moose | Élan | Herbivores and Other Normally Non-Aggressive Animals | Lv3 | sz=L | OB:55LBa100/60LTs !
Sheep | Mouton | Herbivores and Other Normally Non-Aggressive Animals | Lv2 | sz=M | OB:60MBa100/50MTs ✓
Bactrian Camel | Chameau de Bactriane | Riding and Draft Animals | Lv3 | sz=L | OB:40MBi100* / 30MBa100/40LTs !
Dromedary Camel (Racer) | Dromadaire (Racer) | Riding and Draft Animals | Lv4 | sz=L | OB:30MBi100* / 40MBa100/40MTs !
Dromedary Camel (Draft) | Dromadaire (Draft) | Riding and Draft Animals | Lv3 | sz=L | OB:40MBi100* / 30MBa100/50MTs !
Alpaca | Alpaga | Riding and Draft Animals | Lv3 | sz=M | OB:20SBi100* / 20MBa100/40MTs !
Elephants | Éléphants | Riding and Draft Animals | Lv7 | sz=H | OB:75HHo70/60LGr3030/90MCr / *✓ / 75HBa100/75HTs !
Mustang | Mustang | Riding and Draft Animals | Lv4 | sz=L | OB:40MCr80/30MTs ✓ / /40MBi20* / 30MBa100/30MT !s
Plow Horse | Cheval de labour | Riding and Draft Animals | Lv2 | sz=L | OB:10MCr30/30LTs ✓ / /10MBi70* / 20MBa100/30LTs !
Pony | Poney | Riding and Draft Animals | Lv2 | sz=M | OB:30SCr40/20MTs ✓ / /20SBi60* / 10MBa100/20MTs !
Quarter Horse | Quarter horse | Riding and Draft Animals | Lv3 | sz=L | OB:30MCr70/40MTs ✓ / /30MBi30* / 30MBa100/40MTs !
Warhorse, Lesser | Cheval de guerre, inférieur | Riding and Draft Animals | Lv5 | sz=L | OB:50MCr50/50MTs ✓ / /40MBi50* / 40LBa100/50MTs !
Oxen | Bœufs | Riding and Draft Animals | Lv3 | sz=L | OB:50MHo100/50LTs* / 40MBa100/50MTs !
Water Buffalo | Buffle d'eau | Riding and Draft Animals | Lv3 | sz=L | OB:50MHo100/50LTs* / 40MBa100/50MTs !
Reindeer/Caribou | Renne/Caribou | Riding and Draft Animals | Lv2 | sz=M | OB:40MHo50/40MBa50/40LTs / *✓ / 30MBa100/40MTs !
Fish (Small) | Poisson (petit) | Fish and Other Water Creatures | Lv0 | sz=S | OB:0TPi100/10SPi(6)
Fish (Medium) | Poisson (moyen) | Fish and Other Water Creatures | Lv1 | sz=M | OB:30SPi100/40MPi(3)
Octopi/Squid (Small) | Pieuvre/Calmar (petit) | Fish and Other Water Creatures | Lv1 | sz=S | OB:40SGr100/30TPi !
Octopi/Squid (Medium) | Pieuvre/Calmar (moyen) | Fish and Other Water Creatures | Lv3 | sz=M | OB:60MGr100/40SPi !
Shark (Small) | Requin (petit) | Fish and Other Water Creatures | Lv2 | sz=M | OB:60MBi100
Port.Man-o-war | Physalie | Fish and Other Water Creatures | Lv3 | sz=L | OB:50LGr100/Poison Special* /!
Ants* | Fourmis* | Insects, Arachnids, and Crustaceans | Lv0 | sz=T | OB:[]
Crabs* | Crabes* | Insects, Arachnids, and Crustaceans | Lv0 | sz=T | OB:[]
Alligator/Crocodile/Caiman (Small, water) | Alligator/Crocodile/Caïman (Petit, eau) | Reptiles and Amphibians | Lv1 | sz=M | OB:[]
Alligator/Crocodile/Caiman (Small, land) | Alligator/Crocodile/Caïman (Petit, terre) | Reptiles and Amphibians | Lv1 | sz=M | OB:[]
Alligator/Crocodile/Caiman (Large, water) | Alligator/Crocodile/Caïman (Gros, eau) | Reptiles and Amphibians | Lv3 | sz=L | OB:[]
Alligator/Crocodile/Caiman (Large, land) | Alligator/Crocodile/Caïman (Gros, terre) | Reptiles and Amphibians | Lv3 | sz=L | OB:[]
Lizard (Small) | Lézard (petit) | Reptiles and Amphibians | Lv0 | sz=T | OB:[]
Boa/Python | Boa/Python | Reptiles and Amphibians | Lv3 | sz=L | OB:[]
Sea Snake (water) | Serpent marin (eau) | Reptiles and Amphibians | Lv1 | sz=S | OB:30TSt100/Poison
Small, water | Petit, eau | Reptiles and Amphibians | Lv0 | sz=S | OB:20SPi90/30TBa10
Small, land | Petit, terre | Reptiles and Amphibians | Lv0 | sz=S | OB:0SBi100
Large, water | Gros, eau | Reptiles and Amphibians | Lv2 | sz=M | OB:50MPi70/60SBa30
land Large, | Gros, terre | Reptiles and Amphibians | Lv3 | sz=M | OB:20MBi100
Bear (Small) | Ours (petit) | Carnivorous Mammals | Lv5 | sz=L | OB:/50MBi 60LGr60/50LCI ! ✓/70MBa40
Cat (Small) | Chat (petit) | Carnivorous Mammals | Lv3 | sz=S | OB:30MCl30/20SBi30/Both40
Dog (Small) | Canidé (petit) | Carnivorous Mammals | Lv2 | sz=S | OB:20SBi100
Mustelid/Civet (Small) | Mustélidé/Civette (petit) | Carnivorous Mammals | Lv1 | sz=S | OB:50SBi100/40TCl !
Ferret ("Swink") | Furet ("Swink") | Carnivorous Mammals | Lv2 | sz=S | OB:40SBi100/40TCl !
Bird (Small) | Oiseau (petit) | Birds and Other Flying/Gliding Animals | Lv0 | sz=T | OB:0TPi50/0TCl50/0SCl(6)
Bat (Small) | Chauve-souris (petit) | Birds and Other Flying/Gliding Animals | Lv0 | sz=T | OB:10TBi100/20SBi(6)
Falcon, Peregrine | Faucon pèlerin | Birds and Other Flying/Gliding Animals | Lv2 | sz=S | OB:45SCl100/20SPi
Elephants (African) (Male) | Éléphant africain (mâle) | Other Potentially Dangerous Animals | Lv7 | sz=H | OB:90HHo70/80HBa30/75HTs ✓
